interaction,direction,correspondent_id,datetime,call_duration,antenna_id
call,out,ed74c184b0dc4e816f7a7f942334501ef8d22fa9,2016-07-1 19:06:58,53,
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-07-2 11:17:59,110,
text,in,9ad2eedd0839c8ff84dde3775c83e2e63df074f8,2016-07-2 18:22:40,,
text,out,9ad2eedd0839c8ff84dde3775c83e2e63df074f8,2016-07-2 18:24:23,,
call,out,c4809297efd8b8e84691affc61cb2f84725fe2ff,2016-07-2 18:28:00,139,
text,in,9ad2eedd0839c8ff84dde3775c83e2e63df074f8,2016-07-2 18:32:23,,
call,in,fa87025dac1fc0898fee4dd78abe8a64ea2a3e8d,2016-07-3 16:05:10,,
text,in,2f8bb4a8c03bbfa2953c0bff000f44cdc8edc5de,2016-07-4 06:46:11,,
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-07-4 09:15:20,78,
call,in,658621e8dbada6ddcc14df65902a8dde1b79175b,2016-07-4 10:34:34,96,
call,in,3a91f89423c7c3bb45e8c49ab361d7428e74e80d,2016-07-4 15:58:34,738,
call,in,fa87025dac1fc0898fee4dd78abe8a64ea2a3e8d,2016-07-4 16:12:18,,
call,in,8ed079de58c6aef4f66008aeb74f46eaf92d318a,2016-07-4 16:41:46,35,
text,in,211c91da5a58a77a8bac8cb016b3afcdbabcc432,2016-07-5 13:18:22,,
call,out,4c4810c106da68d315ab46fd7d445ef3925e7a8a,2016-07-5 17:17:23,,
call,out,fed079947094d088440b53367bca7653ee7e62e7,2016-07-5 17:21:51,69,
call,out,4a2cc85cc4d8fb80b2cc3d7c537bc79f2d70a2a3,2016-07-5 17:23:27,,
call,out,c7118853615bd044972ca1ba58c99a1bbfac7acc,2016-07-5 17:23:48,445,
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-07-5 18:32:24,109,
text,in,a7d2798942400b41a3fc6f1f91b3ae93a72dd226,2016-07-5 19:40:55,,
call,out,7934a8fcfb3baf6a9fe3990a9a26d5f33b7bc853,2016-07-6 13:20:45,778,
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-07-6 15:56:25,246,
call,out,75f08564d5409b72a792f29ae75b255cf4525085,2016-07-6 16:04:10,753,
