interaction,direction,correspondent_id,datetime,call_duration
text,in,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-07-23 10:39:38,
text,in,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-07-23 10:32:18,
text,in,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-07-23 10:26:48,
text,out,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-07-23 10:32:33,
text,out,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-07-23 10:31:39,
text,in,e76ac52df86fe8538e8fb188684c8cd11b90a70f,2010-07-24 21:02:33,
text,out,e76ac52df86fe8538e8fb188684c8cd11b90a70f,2010-07-24 21:03:13,
text,out,74f6fc1c02d85728b2396bfc9976fd5c96bae1a6,2010-07-25 21:09:36,
text,in,sp10-01-02,2010-07-29 18:56:39,
text,out,sp10-01-02,2010-07-29 19:03:46,
text,out,sp10-01-02,2010-07-30 17:07:50,
text,in,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-07-31 17:12:32,
text,in,sp10-01-02,2010-07-31 17:00:42,
text,in,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-07-31 16:52:46,
text,in,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-07-31 16:50:24,
text,in,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-07-31 16:31:45,
text,out,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-07-31 17:15:57,
text,out,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-07-31 16:54:39,
text,out,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-07-31 16:52:12,
text,out,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-07-31 16:35:25,
text,in,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-08-01 21:22:08,
text,in,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-08-01 21:02:06,
text,out,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-08-01 21:14:18,
text,in,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-08-02 15:36:10,
text,out,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-08-02 15:35:39,
text,in,sp10-01-02,2010-08-03 09:13:40,
text,in,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-08-05 16:50:42,
text,out,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-08-05 16:58:11,
text,out,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-08-05 16:49:31,
text,in,sp10-01-02,2010-08-09 17:56:54,
text,out,sp10-01-02,2010-08-10 15:19:21,
text,out,12ea4e6dfeb10ada744981ceb26ad2bf6f2c0d7,2010-08-10 15:18:51,
text,in,sp10-01-02,2010-08-10 22:53:56,
text,in,sp10-01-02,2010-08-10 20:04:00,
text,in,sp10-01-01,2010-08-10 19:59:05,
text,out,sp10-01-01,2010-08-10 19:58:51,
text,in,12ea4e6dfeb10ada744981ceb26ad2bf6f2c0d7,2010-08-11 08:35:05,
text,in,sp10-01-02,2010-08-11 18:37:55,
text,out,sp10-01-02,2010-08-11 18:36:16,
text,in,12ea4e6dfeb10ada744981ceb26ad2bf6f2c0d7,2010-08-12 11:08:27,
text,out,12ea4e6dfeb10ada744981ceb26ad2bf6f2c0d7,2010-08-12 11:25:40,
text,out,12ea4e6dfeb10ada744981ceb26ad2bf6f2c0d7,2010-08-12 11:07:21,
text,in,sp10-01-02,2010-08-13 16:13:57,
text,out,7b3ec94de47b92f277e9c2c5ce32bb3e5c69b19d,2010-08-15 16:17:32,
text,out,f3141bdcd821b973cc20ba32c6ae50f0d5c6a9db,2010-08-15 16:08:09,
text,in,sp10-01-02,2010-08-16 14:02:16,
text,in,7e9f28d9a8fdb0252bc757151cd3ff7eb9c04ccf,2010-08-18 14:06:08,
text,in,7e9f28d9a8fdb0252bc757151cd3ff7eb9c04ccf,2010-08-18 13:38:02,
text,in,7e9f28d9a8fdb0252bc757151cd3ff7eb9c04ccf,2010-08-18 13:37:59,
text,in,7e9f28d9a8fdb0252bc757151cd3ff7eb9c04ccf,2010-08-18 13:26:54,
text,in,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-08-19 21:46:18,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2010-08-19 19:03:46,
text,in,sp10-01-53,2010-08-20 12:39:44,
text,out,sp10-01-53,2010-08-20 12:59:06,
text,in,sp10-01-53,2010-08-20 15:59:47,
text,out,42d9d92f440ac360633a209fd80738c04c2af315,2010-08-21 15:06:03,
text,in,sp10-01-01,2010-08-23 11:14:40,
text,out,sp10-01-01,2010-08-23 11:14:25,
text,in,sp10-01-02,2010-08-25 09:29:11,
text,in,sp10-01-02,2010-08-25 09:27:56,
text,in,sp10-01-02,2010-08-25 08:31:47,
text,out,sp10-01-02,2010-08-25 09:28:25,
text,out,sp10-01-02,2010-08-25 09:26:44,
text,in,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-08-26 11:56:24,
text,out,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-08-26 11:58:14,
text,in,sp10-01-52,2010-08-30 19:07:46,
text,in,sp10-01-52,2010-09-02 17:54:59,
text,in,sp10-01-52,2010-09-02 17:34:17,
text,out,2efca91209c1c3ff35908c439948c26bb1b39cfa,2010-09-02 17:47:11,
text,out,sp10-01-52,2010-09-02 17:42:54,
text,out,sp10-01-52,2010-09-02 17:01:13,
text,in,12ea4e6dfeb10ada744981ceb26ad2bf6f2c0d7,2010-09-03 13:03:09,
text,in,12ea4e6dfeb10ada744981ceb26ad2bf6f2c0d7,2010-09-03 10:57:40,
text,in,12ea4e6dfeb10ada744981ceb26ad2bf6f2c0d7,2010-09-03 10:57:20,
text,in,12ea4e6dfeb10ada744981ceb26ad2bf6f2c0d7,2010-09-03 10:50:55,
text,in,12ea4e6dfeb10ada744981ceb26ad2bf6f2c0d7,2010-09-03 10:48:56,
text,in,12ea4e6dfeb10ada744981ceb26ad2bf6f2c0d7,2010-09-03 10:47:05,
text,in,sp10-01-53,2010-09-03 10:13:16,
text,out,12ea4e6dfeb10ada744981ceb26ad2bf6f2c0d7,2010-09-03 12:48:57,
text,out,12ea4e6dfeb10ada744981ceb26ad2bf6f2c0d7,2010-09-03 10:52:01,
text,out,12ea4e6dfeb10ada744981ceb26ad2bf6f2c0d7,2010-09-03 10:49:43,
text,out,12ea4e6dfeb10ada744981ceb26ad2bf6f2c0d7,2010-09-03 10:47:42,
text,out,12ea4e6dfeb10ada744981ceb26ad2bf6f2c0d7,2010-09-03 10:38:04,
text,in,sp10-01-02,2010-09-07 19:58:16,
text,out,sp10-01-02,2010-09-07 19:57:39,
text,in,sp10-01-02,2010-09-08 09:37:59,
text,out,sp10-01-02,2010-09-08 09:40:02,
text,in,sp10-01-02,2010-09-09 14:42:32,
text,out,sp10-01-02,2010-09-09 14:25:18,
text,in,sp10-01-53,2010-09-09 20:55:46,
text,in,sp10-01-53,2010-09-09 20:39:22,
text,in,sp10-01-02,2010-09-09 17:59:55,
text,in,sp10-01-02,2010-09-09 15:14:59,
text,out,sp10-01-02,2010-09-09 17:59:26,
text,out,sp10-01-02,2010-09-09 15:17:47,
text,out,sp10-01-02,2010-09-09 15:15:54,
text,out,sp10-01-02,2010-09-09 15:14:30,
text,in,sp10-01-02,2010-09-11 12:58:42,
text,out,sp10-01-02,2010-09-11 13:16:35,
text,in,sp10-01-02,2010-09-13 09:07:50,
text,out,sp10-01-02,2010-09-13 09:21:25,
text,in,189055364b731686685ca2ff6b38b22dbdb7fe76,2010-09-14 21:41:09,
text,out,189055364b731686685ca2ff6b38b22dbdb7fe76,2010-09-14 21:42:27,
text,out,189055364b731686685ca2ff6b38b22dbdb7fe76,2010-09-14 20:22:08,
text,in,sp10-01-02,2010-09-15 17:08:30,
text,in,sp10-01-02,2010-09-15 17:07:20,
text,in,sp10-01-02,2010-09-21 18:39:38,
text,out,sp10-01-02,2010-09-21 17:53:10,
text,in,sp10-01-02,2010-09-22 08:32:15,
text,out,sp10-01-02,2010-09-22 08:41:52,
text,in,sp10-01-02,2010-09-22 10:07:29,
text,in,sp10-01-02,2010-09-22 09:48:48,
text,out,sp10-01-02,2010-09-22 09:50:08,
text,out,sp10-01-02,2010-09-22 09:47:37,
text,out,sp10-01-02,2010-09-22 09:42:53,
text,in,sp10-01-02,2010-09-23 12:20:51,
text,out,sp10-01-02,2010-09-23 11:46:15,
text,out,sp10-01-02,2010-09-24 08:52:08,
text,in,sp10-01-02,2010-09-24 10:49:33,
text,out,79229087d47bef579a3f0a22027033d2cb9939bd,2010-09-24 12:24:18,
text,in,sp10-01-02,2010-09-25 14:40:26,
text,out,sp10-01-02,2010-09-25 14:48:49,
text,in,c40701138a7b65765d6fbb2a2968eea24bcba4d9,2010-09-25 18:48:25,
text,in,c40701138a7b65765d6fbb2a2968eea24bcba4d9,2010-09-25 18:43:51,
text,out,c40701138a7b65765d6fbb2a2968eea24bcba4d9,2010-09-25 18:59:57,
text,out,c40701138a7b65765d6fbb2a2968eea24bcba4d9,2010-09-25 18:47:03,
text,out,c40701138a7b65765d6fbb2a2968eea24bcba4d9,2010-09-25 18:41:02,
text,out,c40701138a7b65765d6fbb2a2968eea24bcba4d9,2010-09-25 20:02:55,
text,out,74f6fc1c02d85728b2396bfc9976fd5c96bae1a6,2010-09-26 18:58:11,
text,in,sp10-01-02,2010-09-27 18:06:58,
text,out,sp10-01-02,2010-09-27 19:04:06,
text,out,sp10-01-02,2010-09-28 18:00:02,
text,in,sp10-01-02,2010-09-30 16:15:21,
text,out,sp10-01-02,2010-09-30 17:13:11,
text,out,sp10-01-02,2010-09-30 16:10:29,
text,out,sp10-01-02,2010-09-30 19:51:38,
text,out,sp10-01-02,2010-10-01 09:49:02,
text,out,sp10-01-53,2010-10-01 11:58:46,
text,in,sp10-01-02,2010-10-01 18:17:18,
text,in,c40701138a7b65765d6fbb2a2968eea24bcba4d9,2010-10-02 09:43:30,
text,in,sp10-01-53,2010-10-06 09:25:57,
text,out,sp10-01-53,2010-10-06 16:49:31,
text,out,sp10-01-53,2010-10-06 16:42:48,
text,in,sp10-01-53,2010-10-07 10:05:01,
text,in,sp10-01-53,2010-10-07 10:07:36,
text,out,sp10-01-53,2010-10-07 11:15:06,
text,in,sp10-01-02,2010-10-07 18:43:29,
text,in,sp10-01-02,2010-10-07 20:19:28,
text,in,sp10-01-02,2010-10-08 13:13:17,
text,out,sp10-01-02,2010-10-08 13:12:09,
text,in,sp10-01-02,2010-10-09 18:38:31,
text,out,sp10-01-02,2010-10-09 19:03:12,
text,in,sp10-01-02,2010-10-09 19:10:47,
text,in,sp10-01-02,2010-10-09 19:38:54,
text,in,sp10-01-02,2010-10-09 21:37:56,
text,in,sp10-01-02,2010-10-09 20:09:30,
text,in,c40701138a7b65765d6fbb2a2968eea24bcba4d9,2010-10-10 14:27:59,
text,out,c40701138a7b65765d6fbb2a2968eea24bcba4d9,2010-10-10 14:44:56,
text,in,fa10-01-71,2010-10-13 08:42:30,
text,out,fa10-01-71,2010-10-13 08:44:05,
text,in,fa10-01-71,2010-10-13 08:55:30,
text,in,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-10-13 10:29:25,
text,out,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-10-13 10:25:52,
text,out,sp10-01-02,2010-10-13 19:38:23,
text,in,sp10-01-02,2010-10-14 20:39:55,
text,in,cc3712df9249654a3262099467a38be2952820db,2010-10-16 13:05:44,
text,out,cc3712df9249654a3262099467a38be2952820db,2010-10-16 13:07:54,
text,in,sp10-01-02,2010-10-18 19:34:27,
text,in,sp10-01-02,2010-10-20 18:21:21,
text,in,sp10-01-02,2010-10-21 15:30:51,
text,in,sp10-01-02,2010-10-22 11:03:44,
text,out,sp10-01-02,2010-10-22 13:32:03,
text,in,902977333789ef182370a280ab0d0b5d8929a6a9,2010-10-24 18:19:20,
text,in,sp10-01-02,2010-10-25 17:55:38,
text,in,a27bb10ffadc9cbc728a5993ac93f9ee47878cde,2010-10-26 09:42:47,
text,in,902977333789ef182370a280ab0d0b5d8929a6a9,2010-10-27 00:20:58,
text,in,902977333789ef182370a280ab0d0b5d8929a6a9,2010-10-27 00:10:20,
text,in,902977333789ef182370a280ab0d0b5d8929a6a9,2010-10-26 23:01:24,
text,in,sp10-01-02,2010-10-26 17:49:59,
text,out,902977333789ef182370a280ab0d0b5d8929a6a9,2010-10-27 00:18:03,
text,out,902977333789ef182370a280ab0d0b5d8929a6a9,2010-10-26 23:10:06,
text,out,sp10-01-02,2010-10-26 17:50:19,
text,out,sp10-01-02,2010-10-26 17:50:08,
text,in,902977333789ef182370a280ab0d0b5d8929a6a9,2010-10-27 13:06:52,
text,out,902977333789ef182370a280ab0d0b5d8929a6a9,2010-10-27 13:08:22,
text,in,sp10-01-02,2010-10-27 18:42:18,
text,in,fa10-01-81,2010-10-29 18:34:57,
text,in,sp10-01-02,2010-11-01 18:00:07,
text,out,sp10-01-02,2010-11-01 19:06:03,
text,out,sp10-01-02,2010-11-01 18:09:18,
text,in,902977333789ef182370a280ab0d0b5d8929a6a9,2010-11-04 16:40:12,
text,in,902977333789ef182370a280ab0d0b5d8929a6a9,2010-11-04 16:38:35,
text,out,902977333789ef182370a280ab0d0b5d8929a6a9,2010-11-04 16:39:31,
text,in,sp10-01-52,2010-11-05 20:33:12,
text,in,902977333789ef182370a280ab0d0b5d8929a6a9,2010-11-06 17:57:35,
text,out,902977333789ef182370a280ab0d0b5d8929a6a9,2010-11-06 17:46:55,
text,out,sp10-01-02,2010-11-06 16:00:55,
text,in,79229087d47bef579a3f0a22027033d2cb9939bd,2010-11-07 11:13:12,
