interaction,direction,correspondent_id,datetime,call_duration
text,in,sp10-01-08,2010-07-25 16:56:29,
text,out,sp10-01-08,2010-07-25 17:26:18,
text,out,sp10-01-08,2010-07-25 16:48:47,
text,in,sp10-01-08,2010-07-26 23:09:16,
text,out,sp10-01-08,2010-07-26 20:48:35,
text,out,sp10-01-08,2010-07-26 20:48:19,
text,in,sp10-01-08,2010-07-27 20:55:20,
text,out,sp10-01-08,2010-07-27 21:39:05,
text,out,sp10-01-08,2010-07-27 20:31:05,
text,in,sp10-01-41,2010-07-30 22:54:08,
text,in,sp10-01-08,2010-07-30 21:07:23,
text,out,sp10-01-41,2010-07-30 21:59:42,
text,out,sp10-01-08,2010-07-30 20:31:16,
text,in,sp10-01-41,2010-07-31 10:11:20,
text,out,sp10-01-41,2010-07-31 08:46:00,
text,in,sp10-01-49,2010-08-02 11:19:10,
text,out,sp10-01-08,2010-08-02 12:29:05,
text,in,sp10-01-08,2010-08-02 13:57:43,
text,out,sp10-01-08,2010-08-03 21:23:35,
text,in,sp10-01-08,2010-08-03 23:23:43,
text,out,sp10-01-08,2010-08-04 14:08:30,
text,in,sp10-01-45,2010-08-18 11:32:59,
text,in,sp10-01-39,2010-08-20 18:52:13,
text,in,sp10-01-39,2010-08-20 18:51:57,
text,out,sp10-01-45,2010-08-20 19:58:45,
text,out,sp10-01-39,2010-08-20 18:19:47,
text,in,sp10-01-45,2010-08-20 19:59:56,
text,out,sp10-01-45,2010-08-20 20:04:22,
text,out,sp10-01-45,2010-08-21 19:58:41,
text,in,sp10-01-45,2010-08-22 11:00:19,
text,in,sp10-01-45,2010-08-22 12:12:00,
text,out,sp10-01-45,2010-08-22 16:40:50,
text,out,sp10-01-45,2010-08-22 12:05:27,
text,in,sp10-01-08,2010-08-22 22:44:28,
text,out,sp10-01-08,2010-08-22 21:08:04,
text,out,sp10-01-39,2010-08-23 08:28:52,
text,out,sp10-01-08,2010-08-23 08:28:23,
text,in,sp10-01-08,2010-08-23 13:10:53,
text,in,sp10-01-39,2010-08-25 16:31:10,
text,in,sp10-01-39,2010-08-25 16:30:18,
text,out,sp10-01-39,2010-08-25 16:34:25,
text,out,sp10-01-39,2010-08-26 14:35:07,
text,in,sp10-01-41,2010-08-26 19:24:22,
text,out,sp10-01-41,2010-08-26 19:20:18,
text,out,sp10-01-39,2010-08-26 19:07:27,
text,in,sp10-01-08,2010-08-27 07:29:52,
text,in,sp10-01-08,2010-08-27 16:35:09,
text,in,sp10-01-08,2010-08-27 13:31:43,
text,in,sp10-01-08,2010-08-27 13:31:40,
text,in,sp10-01-08,2010-08-27 13:31:37,
text,out,sp10-01-08,2010-08-27 14:31:52,
text,out,sp10-01-08,2010-08-27 10:04:00,
text,in,sp10-01-39,2010-08-27 20:16:11,
text,in,sp10-01-39,2010-08-27 20:08:43,
text,in,sp10-01-39,2010-08-27 20:08:08,
text,in,sp10-01-39,2010-08-27 20:07:26,
text,out,sp10-01-39,2010-08-27 20:19:59,
text,out,sp10-01-39,2010-08-27 20:19:46,
text,out,sp10-01-39,2010-08-27 20:15:19,
text,out,sp10-01-39,2010-08-27 20:13:14,
text,out,sp10-01-39,2010-08-27 20:04:46,
text,out,sp10-01-08,2010-08-29 16:56:45,
text,in,sp10-01-08,2010-08-29 19:49:43,
text,in,sp10-01-39,2010-08-29 19:36:40,
text,in,sp10-01-08,2010-08-29 17:52:28,
text,in,sp10-01-08,2010-08-29 17:48:17,
text,out,sp10-01-08,2010-08-29 20:06:10,
text,out,sp10-01-08,2010-08-29 17:52:50,
text,out,sp10-01-39,2010-08-29 17:24:15,
text,out,sp10-01-08,2010-08-29 17:22:37,
text,in,sp10-01-39,2010-08-30 08:53:40,
text,out,sp10-01-39,2010-08-30 08:59:15,
text,out,sp10-01-39,2010-08-30 08:52:01,
text,in,sp10-01-08,2010-08-31 12:25:53,
text,out,sp10-01-08,2010-08-31 11:04:33,
text,out,sp10-01-39,2010-08-31 11:02:51,
text,in,sp10-01-08,2010-09-01 20:09:08,
text,in,sp10-01-08,2010-09-01 20:09:05,
text,out,sp10-01-08,2010-09-01 21:43:24,
text,in,sp10-01-39,2010-09-03 21:01:53,
text,in,sp10-01-39,2010-09-03 20:46:59,
text,out,sp10-01-39,2010-09-03 21:01:04,
text,out,sp10-01-39,2010-09-03 20:45:28,
text,in,sp10-01-08,2010-09-05 16:36:06,
text,out,sp10-01-08,2010-09-05 16:59:30,
text,in,sp10-01-41,2010-09-05 21:53:06,
text,in,sp10-01-08,2010-09-05 17:55:53,
text,out,sp10-01-41,2010-09-05 21:54:09,
text,out,sp10-01-41,2010-09-05 21:49:41,
text,in,sp10-01-41,2010-09-06 06:16:09,
text,out,sp10-01-41,2010-09-06 06:13:23,
text,in,sp10-01-39,2010-09-06 11:28:53,
text,in,sp10-01-39,2010-09-06 11:28:07,
text,in,sp10-01-39,2010-09-06 11:26:09,
text,in,sp10-01-39,2010-09-06 11:23:20,
text,in,sp10-01-39,2010-09-06 11:21:58,
text,in,sp10-01-39,2010-09-06 11:16:15,
text,in,sp10-01-39,2010-09-06 11:15:50,
text,in,sp10-01-39,2010-09-06 11:15:34,
text,in,sp10-01-39,2010-09-06 11:03:49,
text,in,sp10-01-39,2010-09-06 11:02:18,
text,out,sp10-01-39,2010-09-06 11:27:26,
text,out,sp10-01-39,2010-09-06 11:22:23,
text,out,sp10-01-39,2010-09-06 11:21:34,
text,out,sp10-01-39,2010-09-06 11:20:07,
text,out,sp10-01-39,2010-09-06 11:13:14,
text,out,sp10-01-39,2010-09-06 11:12:57,
text,out,sp10-01-39,2010-09-06 11:12:00,
text,out,sp10-01-39,2010-09-06 10:01:16,
text,out,sp10-01-39,2010-09-06 18:53:04,
text,out,sp10-01-08,2010-09-06 15:35:50,
text,in,sp10-01-08,2010-09-07 20:24:06,
text,in,sp10-01-08,2010-09-07 14:43:11,
text,in,sp10-01-08,2010-09-07 14:42:35,
text,out,sp10-01-08,2010-09-07 19:39:26,
text,out,sp10-01-08,2010-09-07 15:56:28,
text,in,sp10-01-08,2010-09-09 13:33:39,
text,out,sp10-01-08,2010-09-09 14:10:26,
text,in,sp10-01-08,2010-09-09 20:27:05,
text,in,sp10-01-08,2010-09-09 18:55:37,
text,in,sp10-01-08,2010-09-09 18:26:00,
text,out,sp10-01-08,2010-09-09 20:27:56,
text,out,sp10-01-08,2010-09-09 19:25:38,
text,out,sp10-01-08,2010-09-09 19:24:43,
text,in,sp10-01-39,2010-09-10 08:30:01,
text,in,sp10-01-39,2010-09-10 08:29:21,
text,in,sp10-01-41,2010-09-10 08:09:33,
text,out,sp10-01-41,2010-09-10 08:05:28,
text,out,sp10-01-39,2010-09-10 08:04:04,
text,in,sp10-01-41,2010-09-11 18:30:36,
text,in,sp10-01-41,2010-09-11 18:29:19,
text,in,sp10-01-08,2010-09-11 18:08:42,
text,in,sp10-01-08,2010-09-11 18:02:22,
text,out,sp10-01-41,2010-09-11 18:29:38,
text,out,sp10-01-45,2010-09-11 18:12:19,
text,out,sp10-01-08,2010-09-11 18:11:25,
text,out,sp10-01-08,2010-09-11 18:05:28,
text,out,sp10-01-08,2010-09-11 17:58:23,
text,in,sp10-01-07,2010-09-12 17:19:22,
text,out,sp10-01-39,2010-09-12 17:22:57,
text,in,sp10-01-39,2010-09-13 08:46:50,
text,in,sp10-01-39,2010-09-13 08:46:14,
text,in,sp10-01-39,2010-09-13 08:43:46,
text,in,sp10-01-39,2010-09-13 08:30:48,
text,out,sp10-01-39,2010-09-13 09:30:35,
text,out,sp10-01-39,2010-09-13 09:29:33,
text,out,sp10-01-39,2010-09-13 08:41:45,
text,out,sp10-01-39,2010-09-13 08:29:56,
text,in,sp10-01-08,2010-09-14 21:55:08,
text,in,sp10-01-45,2010-09-14 21:21:27,
text,out,sp10-01-08,2010-09-14 22:02:44,
text,out,sp10-01-08,2010-09-14 21:37:25,
text,out,sp10-01-45,2010-09-14 21:28:56,
text,out,sp10-01-45,2010-09-14 18:35:54,
text,in,sp10-01-39,2010-09-16 17:54:01,
text,out,sp10-01-39,2010-09-17 07:30:13,
text,in,sp10-01-49,2010-09-18 12:46:31,
text,in,sp10-01-45,2010-09-18 11:47:56,
text,out,sp10-01-08,2010-09-18 23:24:12,
text,out,sp10-01-08,2010-09-18 23:23:20,
text,in,sp10-01-08,2010-09-19 17:14:45,
text,in,sp10-01-08,2010-09-19 17:14:35,
text,out,sp10-01-08,2010-09-19 17:31:15,
text,out,sp10-01-08,2010-09-20 11:05:11,
text,in,sp10-01-08,2010-09-20 22:54:09,
text,in,sp10-01-08,2010-09-20 22:54:06,
text,in,sp10-01-08,2010-09-20 22:54:03,
text,in,sp10-01-08,2010-09-20 22:53:52,
text,in,sp10-01-45,2010-09-21 10:10:33,
text,out,sp10-01-45,2010-09-21 10:10:56,
text,out,sp10-01-45,2010-09-21 10:09:30,
text,out,sp10-01-08,2010-09-21 09:52:43,
text,in,sp10-01-08,2010-09-21 23:12:17,
text,out,sp10-01-08,2010-09-21 23:08:25,
text,in,sp10-01-41,2010-09-22 14:29:34,
text,out,sp10-01-41,2010-09-22 14:24:59,
text,in,sp10-01-08,2010-09-23 18:08:46,
text,in,sp10-01-08,2010-09-23 18:06:17,
text,in,sp10-01-41,2010-09-23 14:50:07,
text,in,sp10-01-41,2010-09-23 14:41:14,
text,out,sp10-01-08,2010-09-23 18:10:59,
text,out,sp10-01-08,2010-09-23 18:07:35,
text,out,sp10-01-08,2010-09-23 17:39:51,
text,out,sp10-01-41,2010-09-23 14:48:47,
text,out,sp10-01-07,2010-09-23 14:37:29,
text,out,sp10-01-08,2010-09-24 12:20:59,
text,in,sp10-01-08,2010-09-24 13:14:27,
text,in,sp10-01-08,2010-09-24 13:14:17,
text,out,sp10-01-08,2010-09-24 14:21:10,
text,out,sp10-01-08,2010-09-24 19:51:51,
text,in,sp10-01-39,2010-09-25 17:41:32,
text,out,sp10-01-39,2010-09-25 17:39:51,
text,out,sp10-01-08,2010-09-25 19:12:43,
text,in,sp10-01-39,2010-09-27 10:46:44,
text,in,sp10-01-39,2010-09-27 10:46:24,
text,in,sp10-01-39,2010-09-27 10:44:26,
text,in,sp10-01-39,2010-09-27 10:44:05,
text,out,sp10-01-39,2010-09-27 10:44:59,
text,out,sp10-01-39,2010-09-27 10:44:05,
text,out,sp10-01-39,2010-09-27 10:42:30,
text,in,sp10-01-08,2010-09-29 06:54:34,
text,in,sp10-01-08,2010-09-29 06:52:55,
text,in,sp10-01-08,2010-09-29 06:52:45,
text,out,sp10-01-08,2010-09-29 13:32:02,
text,in,sp10-01-08,2010-09-29 14:05:14,
text,in,sp10-01-08,2010-09-29 14:05:04,
text,in,sp10-01-38,2010-09-29 20:07:05,
text,in,sp10-01-38,2010-09-29 20:06:52,
text,in,sp10-01-38,2010-09-29 20:11:46,
text,in,sp10-01-39,2010-09-29 21:46:26,
text,out,sp10-01-39,2010-09-29 21:48:06,
text,out,sp10-01-39,2010-09-29 21:44:21,
text,out,sp10-01-39,2010-09-29 21:44:00,
text,in,sp10-01-08,2010-09-30 15:39:25,
text,in,sp10-01-08,2010-09-30 15:39:15,
text,in,sp10-01-39,2010-09-30 14:43:27,
text,out,sp10-01-39,2010-09-30 14:42:19,
text,out,sp10-01-08,2010-09-30 16:36:05,
text,out,sp10-01-45,2010-09-30 22:57:20,
text,out,sp10-01-08,2010-10-01 10:55:42,
text,in,sp10-01-45,2010-10-01 15:13:44,
text,in,sp10-01-45,2010-10-01 15:09:54,
text,out,sp10-01-45,2010-10-01 15:11:55,
text,in,sp10-01-08,2010-10-01 17:50:16,
text,out,sp10-01-08,2010-10-01 18:11:33,
text,out,sp10-01-08,2010-10-01 19:14:33,
text,in,sp10-01-08,2010-10-02 13:08:49,
text,in,sp10-01-08,2010-10-02 20:15:04,
text,out,sp10-01-08,2010-10-02 20:26:51,
text,in,sp10-01-08,2010-10-04 07:08:02,
text,out,sp10-01-08,2010-10-04 08:24:14,
text,out,sp10-01-08,2010-10-04 17:07:31,
text,in,sp10-01-39,2010-10-05 19:00:39,
text,in,sp10-01-39,2010-10-06 13:52:35,
text,out,sp10-01-39,2010-10-06 13:50:19,
text,in,sp10-01-08,2010-10-06 16:10:45,
text,out,sp10-01-08,2010-10-07 22:11:07,
text,out,sp10-01-08,2010-10-07 22:10:38,
text,out,sp10-01-08,2010-10-07 22:07:51,
text,out,sp10-01-08,2010-10-07 22:07:10,
text,in,sp10-01-08,2010-10-08 06:56:52,
text,out,sp10-01-08,2010-10-08 09:53:00,
text,in,sp10-01-08,2010-10-08 18:36:35,
text,out,sp10-01-08,2010-10-08 18:35:37,
text,out,sp10-01-39,2010-10-08 22:55:03,
text,in,sp10-01-08,2010-10-09 11:00:24,
text,in,sp10-01-08,2010-10-09 10:19:51,
text,out,sp10-01-08,2010-10-09 11:07:04,
text,out,sp10-01-08,2010-10-09 10:56:58,
