interaction,direction,correspondent_id,datetime,call_duration
text,in,sp10-01-02,2010-07-29 18:56:39,
text,out,sp10-01-02,2010-07-29 19:03:46,
text,out,sp10-01-02,2010-07-30 17:07:50,
text,in,sp10-01-02,2010-07-31 17:00:42,
text,in,sp10-01-02,2010-08-03 09:13:40,
text,in,sp10-01-02,2010-08-09 17:56:54,
text,out,sp10-01-02,2010-08-10 15:19:21,
text,in,sp10-01-02,2010-08-10 22:53:56,
text,in,sp10-01-02,2010-08-10 20:04:00,
text,in,sp10-01-01,2010-08-10 19:59:05,
text,out,sp10-01-01,2010-08-10 19:58:51,
text,in,sp10-01-02,2010-08-11 18:37:55,
text,out,sp10-01-02,2010-08-11 18:36:16,
text,in,sp10-01-02,2010-08-13 16:13:57,
text,in,sp10-01-02,2010-08-16 14:02:16,
text,in,sp10-01-53,2010-08-20 12:39:44,
text,out,sp10-01-53,2010-08-20 12:59:06,
text,in,sp10-01-53,2010-08-20 15:59:47,
text,in,sp10-01-01,2010-08-23 11:14:40,
text,out,sp10-01-01,2010-08-23 11:14:25,
text,in,sp10-01-02,2010-08-25 09:29:11,
text,in,sp10-01-02,2010-08-25 09:27:56,
text,in,sp10-01-02,2010-08-25 08:31:47,
text,out,sp10-01-02,2010-08-25 09:28:25,
text,out,sp10-01-02,2010-08-25 09:26:44,
text,in,sp10-01-52,2010-08-30 19:07:46,
text,in,sp10-01-52,2010-09-02 17:54:59,
text,in,sp10-01-52,2010-09-02 17:34:17,
text,out,sp10-01-52,2010-09-02 17:42:54,
text,out,sp10-01-52,2010-09-02 17:01:13,
text,in,sp10-01-53,2010-09-03 10:13:16,
text,in,sp10-01-02,2010-09-07 19:58:16,
text,out,sp10-01-02,2010-09-07 19:57:39,
text,in,sp10-01-02,2010-09-08 09:37:59,
text,out,sp10-01-02,2010-09-08 09:40:02,
text,in,sp10-01-02,2010-09-09 14:42:32,
text,out,sp10-01-02,2010-09-09 14:25:18,
text,in,sp10-01-53,2010-09-09 20:55:46,
text,in,sp10-01-53,2010-09-09 20:39:22,
text,in,sp10-01-02,2010-09-09 17:59:55,
text,in,sp10-01-02,2010-09-09 15:14:59,
text,out,sp10-01-02,2010-09-09 17:59:26,
text,out,sp10-01-02,2010-09-09 15:17:47,
text,out,sp10-01-02,2010-09-09 15:15:54,
text,out,sp10-01-02,2010-09-09 15:14:30,
text,in,sp10-01-02,2010-09-11 12:58:42,
text,out,sp10-01-02,2010-09-11 13:16:35,
text,in,sp10-01-02,2010-09-13 09:07:50,
text,out,sp10-01-02,2010-09-13 09:21:25,
text,in,sp10-01-02,2010-09-15 17:08:30,
text,in,sp10-01-02,2010-09-15 17:07:20,
text,in,sp10-01-02,2010-09-21 18:39:38,
text,out,sp10-01-02,2010-09-21 17:53:10,
text,in,sp10-01-02,2010-09-22 08:32:15,
text,out,sp10-01-02,2010-09-22 08:41:52,
text,in,sp10-01-02,2010-09-22 10:07:29,
text,in,sp10-01-02,2010-09-22 09:48:48,
text,out,sp10-01-02,2010-09-22 09:50:08,
text,out,sp10-01-02,2010-09-22 09:47:37,
text,out,sp10-01-02,2010-09-22 09:42:53,
text,in,sp10-01-02,2010-09-23 12:20:51,
text,out,sp10-01-02,2010-09-23 11:46:15,
text,out,sp10-01-02,2010-09-24 08:52:08,
text,in,sp10-01-02,2010-09-24 10:49:33,
text,in,sp10-01-02,2010-09-25 14:40:26,
text,out,sp10-01-02,2010-09-25 14:48:49,
text,in,sp10-01-02,2010-09-27 18:06:58,
text,out,sp10-01-02,2010-09-27 19:04:06,
text,out,sp10-01-02,2010-09-28 18:00:02,
text,in,sp10-01-02,2010-09-30 16:15:21,
text,out,sp10-01-02,2010-09-30 17:13:11,
text,out,sp10-01-02,2010-09-30 16:10:29,
text,out,sp10-01-02,2010-09-30 19:51:38,
text,out,sp10-01-02,2010-10-01 09:49:02,
text,out,sp10-01-53,2010-10-01 11:58:46,
text,in,sp10-01-02,2010-10-01 18:17:18,
text,in,sp10-01-53,2010-10-06 09:25:57,
text,out,sp10-01-53,2010-10-06 16:49:31,
text,out,sp10-01-53,2010-10-06 16:42:48,
text,in,sp10-01-53,2010-10-07 10:05:01,
text,in,sp10-01-53,2010-10-07 10:07:36,
text,out,sp10-01-53,2010-10-07 11:15:06,
text,in,sp10-01-02,2010-10-07 18:43:29,
text,in,sp10-01-02,2010-10-07 20:19:28,
text,in,sp10-01-02,2010-10-08 13:13:17,
text,out,sp10-01-02,2010-10-08 13:12:09,
text,in,sp10-01-02,2010-10-09 18:38:31,
text,out,sp10-01-02,2010-10-09 19:03:12,
text,in,sp10-01-02,2010-10-09 19:10:47,
text,in,sp10-01-02,2010-10-09 19:38:54,
text,in,sp10-01-02,2010-10-09 21:37:56,
text,in,sp10-01-02,2010-10-09 20:09:30,
text,in,fa10-01-71,2010-10-13 08:42:30,
text,out,fa10-01-71,2010-10-13 08:44:05,
text,in,fa10-01-71,2010-10-13 08:55:30,
text,out,sp10-01-02,2010-10-13 19:38:23,
text,in,sp10-01-02,2010-10-14 20:39:55,
text,in,sp10-01-02,2010-10-18 19:34:27,
text,in,sp10-01-02,2010-10-20 18:21:21,
text,in,sp10-01-02,2010-10-21 15:30:51,
text,in,sp10-01-02,2010-10-22 11:03:44,
text,out,sp10-01-02,2010-10-22 13:32:03,
text,in,sp10-01-02,2010-10-25 17:55:38,
text,in,sp10-01-02,2010-10-26 17:49:59,
text,out,sp10-01-02,2010-10-26 17:50:19,
text,out,sp10-01-02,2010-10-26 17:50:08,
text,in,sp10-01-02,2010-10-27 18:42:18,
text,in,fa10-01-81,2010-10-29 18:34:57,
text,in,sp10-01-02,2010-11-01 18:00:07,
text,out,sp10-01-02,2010-11-01 19:06:03,
text,out,sp10-01-02,2010-11-01 18:09:18,
text,in,sp10-01-52,2010-11-05 20:33:12,
text,out,sp10-01-02,2010-11-06 16:00:55,
text,in,sp10-01-02,2010-11-07 18:35:36,
text,out,sp10-01-02,2010-11-07 18:36:31,
text,in,sp10-01-02,2010-11-08 17:47:28,
text,out,sp10-01-02,2010-11-08 17:58:31,
text,in,sp10-01-02,2010-11-08 19:36:44,
text,out,sp10-01-02,2010-11-09 17:43:02,
text,in,fa10-01-81,2010-11-13 18:52:12,
text,out,sp10-01-02,2010-11-16 09:46:43,
text,in,sp10-01-53,2010-11-17 14:27:56,
text,in,sp10-01-53,2010-11-17 09:05:20,
text,out,sp10-01-53,2010-11-17 14:18:18,
text,out,sp10-01-53,2010-11-17 14:04:10,
text,out,sp10-01-02,2010-11-17 11:10:54,
text,out,sp10-01-02,2010-11-17 10:15:54,
text,in,sp10-01-53,2010-11-18 08:58:11,
text,out,sp10-01-53,2010-11-18 08:01:14,
text,in,sp10-01-53,2010-11-18 22:12:22,
text,out,sp10-01-53,2010-11-18 22:12:56,
text,out,sp10-01-53,2010-11-18 21:52:21,
text,out,sp10-01-53,2010-11-18 18:22:54,
text,in,sp10-01-53,2010-11-19 08:21:25,
text,out,sp10-01-02,2010-11-19 10:31:17,
text,in,sp10-01-53,2010-11-20 16:00:30,
text,out,sp10-01-53,2010-11-20 16:48:33,
text,in,fa10-01-71,2010-11-21 21:41:41,
text,in,fa10-01-71,2010-11-21 21:08:00,
text,out,fa10-01-71,2010-11-21 21:40:32,
text,in,sp10-01-02,2010-11-22 10:12:07,
text,out,sp10-01-02,2010-11-22 10:01:39,
text,out,sp10-01-02,2010-11-22 09:59:06,
text,in,fa10-01-71,2010-11-22 23:53:51,
text,in,sp10-01-02,2010-11-22 18:30:04,
text,in,fa10-01-71,2010-11-23 00:18:10,
text,out,fa10-01-71,2010-11-22 23:57:29,
text,in,sp10-01-02,2010-11-23 20:07:05,
text,out,sp10-01-02,2010-11-23 20:58:39,
text,in,fa10-01-81,2010-11-28 16:48:06,
text,out,fa10-01-81,2010-11-28 16:27:25,
text,in,sp10-01-02,2010-11-29 18:04:06,
text,in,fa10-01-71,2010-12-04 15:26:16,
text,in,sp10-01-02,2010-12-06 17:53:08,
text,in,sp10-01-02,2010-12-13 14:58:51,
text,in,fa10-01-81,2010-12-14 23:09:26,
text,out,fa10-01-81,2010-12-14 23:15:16,
text,out,fa10-01-81,2010-12-14 23:14:47,
text,out,sp10-01-02,2010-09-24 15:50:58,
text,in,sp10-01-02,2010-09-27 10:09:46,
text,in,sp10-01-02,2010-09-27 09:56:58,
text,in,sp10-01-02,2010-09-27 09:41:03,
text,out,sp10-01-02,2010-09-27 10:00:41,
text,out,sp10-01-02,2010-09-27 09:42:28,
text,out,sp10-01-02,2010-09-27 09:32:12,
