ins,lat,lon
21004,50.84027777777778,4.354611111111111
21015,50.871194444444455,4.3883888888888904
21005,50.84433333333334,4.372861111111111
21009,50.83000000000001,4.361666666666666
21013,50.82250000000001,4.353888888888888
21001,50.81652777777778,4.280055555555555
21012,50.85438888888889,4.306611111111111
21011,50.86525,4.33025
21003,50.87330555555555,4.289305555555555
21008,50.87425,4.32175
21010,50.8835,4.334416666666667
21006,50.854861111111106,4.414277777777778
21019,50.83755555555556,4.4245833333333335
21002,50.81800000000001,4.426388888888889
21017,50.79622222222223,4.413583333333333
21016,50.794055555555545,4.366527777777779
21007,50.803638888888884,4.316055555555557
21018,50.83955555555556,4.4405
21014,50.84930555555556,4.368944444444444
25112,50.71708333333334,4.6098888888888885
25050,50.72186111111111,4.462222222222223
25043,50.68825,4.7866944444444455
25005,50.775,4.7827777777777785
25018,50.70200000000001,4.66238888888889
25091,50.72463888888889,4.535388888888889
25121,50.667888888888896,4.5605
25120,50.7345,4.9702777777777785
25118,50.74652777777778,4.9791944444444445
25084,50.62783333333334,4.798666666666667
25122,50.682,4.904833333333333
25048,50.727833333333336,4.871722222222223
25119,50.661694444444436,4.413944444444446
25037,50.73847222222222,4.6779166666666665
25072,50.56933333333334,4.335472222222221
25110,50.70477777777778,4.379305555555555
25014,50.68283333333333,4.3693888888888885
25123,50.67661111111111,4.136444444444445
25068,50.64463888888889,4.645638888888889
25015,50.68016666666666,4.247472222222221
25117,50.62,4.636388888888888
25124,50.63986111111111,4.673583333333333
25044,50.64975,4.269888888888889
25031,50.59872222222222,4.458
25105,50.7033888888889,4.151888888888889
25023,50.60947222222222,4.538944444444446
25107,50.555527777777776,4.551722222222222
23027,50.730611111111116,4.230916666666666
23032,50.725194444444455,4.029138888888889
23009,50.716611111111106,3.9392222222222224
23033,50.76780555555556,4.444305555555556
23023,50.75294444444446,3.971861111111111
23077,50.797472222222225,4.259722222222221
23098,50.8075,4.304166666666666
23100,50.75911111111111,4.349611111111111
23101,50.73983333333334,4.369916666666667
23003,50.76630555555555,4.3141944444444436
23064,50.734972222222225,4.111916666666667
